BC Geographic Name,Type,View on Map,GeoName ID
Alkhili 2,Indian Reserve,#REF!,65700
Atlin,Community,#REF!,40235
Atlin-Teslin Indian Cemetery 4,Indian Reserve,#REF!,65701
Bennett,Locality,#REF!,3395
Callison Ranch,Locality,#REF!,12687
Engineer,Locality,#REF!,38501
Five Mile Point 3,Indian Reserve,#REF!,65682
Hyland Ranch,Locality,#REF!,19421
Jennings River 8,Indian Reserve,#REF!,65677
Lindeman,Locality,#REF!,1892
McDonald Lake 1,Indian Reserve,#REF!,65680
Pleasant Camp,Locality,#REF!,20302
Rainy Hollow,Locality,#REF!,23253
Rupert,Locality,#REF!,22782
Salmon Creek 3,Indian Reserve,#REF!,64819
Saloon,Locality,#REF!,13646
Scotia Bay,Locality,#REF!,18024
Sheslay,Locality,#REF!,16284
Silver Salmon Lake 5,Indian Reserve,#REF!,65689
Surprise,Locality,#REF!,14015
Tahltan,Locality,#REF!,16766
Tahltan Forks 5,Indian Reserve,#REF!,64821
Taku,Locality,#REF!,17571
Taku 6,Indian Reserve,#REF!,65683
Teslin Lake 7,Indian Reserve,#REF!,65684
Teslin Lake 9,Indian Reserve,#REF!,65685
Tulsequah,Locality,#REF!,27333
Unnamed 10,Indian Reserve,#REF!,65793
Upper Tahltan 4,Indian Reserve,#REF!,64822
40 Mile Flats,Locality,#REF!,40304
Bear Lake,Community,#REF!,2719
Bear Lake (Fort Connelly) 4,Indian Reserve,#REF!,64897
Bear Lake (Tsaytut Bay) 1B,Indian Reserve,#REF!,64885
Bear River (Sustut River) 3,Indian Reserve,#REF!,64884
Bell II,Locality,#REF!,40335
Blue River 1,Indian Reserve,#REF!,65681
Bob Quinn Lake,Locality,#REF!,40305
Boulder City,Locality,#REF!,12645
Classy Creek 8,Indian Reserve,#REF!,64826
Days Ranch,Locality,#REF!,8516
Dease Lake,Community,#REF!,40543
Dease Lake 9,Indian Reserve,#REF!,64825
Dease River 1,Indian Reserve,#REF!,60004
Dease River 2 (Dease),Indian Reserve,#REF!,60500
Dease River 2 (Liard),Indian Reserve,#REF!,60580
Dease River 3 (Dease),Indian Reserve,#REF!,60421
Dease River 3 (Liard),Indian Reserve,#REF!,60581
Dease River 4,Indian Reserve,#REF!,60444
Defot,Locality,#REF!,35923
Eddontenajon,Community,#REF!,38579
Fifth Cabin,Locality,#REF!,8030
Fourth Cabin,Locality,#REF!,8056
Fowler,Locality,#REF!,3683
Glenora,Locality,#REF!,40604
Good Hope Lake,Locality,#REF!,40270
Granduc,Locality,#REF!,11649
Guhthe Tah 12,Indian Reserve,#REF!,60002
Hiusta Meadow,Locality,#REF!,14684
Hiusta's Meadow 2,Indian Reserve,#REF!,64820
Horse Ranch Pass 4,Indian Reserve,#REF!,65819
Hyland Post,Locality,#REF!,15723
Iskut,Community,#REF!,2444
Iskut 6,Indian Reserve,#REF!,64101
Jacksons,Locality,#REF!,9551
Jade City,Locality,#REF!,40296
Klewaduska (Cataract) 6,Indian Reserve,#REF!,64895
Kluachon Lake 1,Indian Reserve,#REF!,65390
Laketon,Locality,#REF!,7373
McDame,Locality,#REF!,16335
McDames Creek 2,Indian Reserve,#REF!,65679
Meziadin Junction,Locality,#REF!,40302
Mosquito Creek 5,Indian Reserve,#REF!,65687
One Mile Point 1,Indian Reserve,#REF!,65690
Porter Landing,Locality,#REF!,17784
Premier,Locality,#REF!,19245
Stewart,District Municipality,#REF!,37405
Stikine,Locality,#REF!,7822
Stikine River 7,Indian Reserve,#REF!,65389
Tahltan 1,Indian Reserve,#REF!,64770
Tahltan 10,Indian Reserve,#REF!,65787
Tatcho Creek 11,Indian Reserve,#REF!,64813
Tatl'ah 13,Indian Reserve,#REF!,66441
Tatogga,Locality,#REF!,40274
Telegraph Creek,Community,#REF!,35678
Telegraph Creek 6,Indian Reserve,#REF!,64824
Telegraph Creek 6A,Indian Reserve,#REF!,64823
Tsaytut Island 1C,Indian Reserve,#REF!,64886
Tsupmeet (Patcha Creek) 5,Indian Reserve,#REF!,64898
Altona,Community,#REF!,1449
Arras,Community,#REF!,9236
Attachie,Locality,#REF!,9842
Baldonnel,Community,#REF!,11039
Bear Flat,Locality,#REF!,12572
Beaton River 204 (North Half),Indian Reserve,#REF!,63401
Beaton River 204 (South Half),Indian Reserve,#REF!,63383
Beatton Ranch,Locality,#REF!,2747
Beryl Prairie,Locality,#REF!,4263
Bessborough,Locality,#REF!,35920
Blueberry River 205,Indian Reserve,#REF!,64812
Boring Ranch,Locality,#REF!,306
Brady Ranch,Locality,#REF!,584
Briar Ridge,Locality,#REF!,777
Buckinghorse River,Community,#REF!,39718
Buick,Community,#REF!,38551
Cecil Lake,Community,#REF!,38344
Charlie Lake,Community,#REF!,38345
Chetwynd,District Municipality,#REF!,37727
Clairmont,Community,#REF!,2530
Clayhurst,Community,#REF!,2570
Coal River,Locality,#REF!,10247
Dawson Creek,City,#REF!,40540
Doe River,Locality,#REF!,18205
Doig River,Community,#REF!,40972
Doig River 206,Indian Reserve,#REF!,64811
East Moberly Lake 169,Indian Reserve,#REF!,64922
East Pine,Locality,#REF!,1233
Farmington,Community,#REF!,11840
Farrell Creek,Locality,#REF!,11855
Federal Ranch,Locality,#REF!,11896
Fellers Heights,Locality,#REF!,11910
Finlay Bay 21,Indian Reserve,#REF!,66021
Fireside,Locality,#REF!,12761
Flatrock,Community,#REF!,12872
Fontas,Locality,#REF!,12966
Fontas 1,Indian Reserve,#REF!,64801
Fort Nelson,Community,#REF!,60101
Fort Nelson 2,Indian Reserve,#REF!,64802
Fort St. John,City,#REF!,3602
Fort Ware,Community,#REF!,54738
Fort Ware 1,Indian Reserve,#REF!,64854
Goodlow,Community,#REF!,10315
Grand Haven,Community,#REF!,11641
Groundbirch,Community,#REF!,3262
Gundy,Locality,#REF!,4139
Halfway Ranch,Locality,#REF!,40616
Halfway River 168,Indian Reserve,#REF!,64844
Hickethier Ranch,Locality,#REF!,14597
Hudson's Hope,District Municipality,#REF!,14891
Ingenika Mine,Locality,#REF!,2907
Ingenika Point,Indian Reserve,#REF!,65818
Kahntah,Community,#REF!,2962
Kahntah 3,Indian Reserve,#REF!,64803
Kelly Lake,Community,#REF!,3154
Kilkerran,Locality,#REF!,3842
Kobes,Locality,#REF!,40303
Lexau Ranch,Locality,#REF!,1844
Liard River,Locality,#REF!,1365
Liard River 3,Indian Reserve,#REF!,65678
Lone Prairie,Community,#REF!,10148
Lower Post,Community,#REF!,11496
Lynx Creek,Community,#REF!,12177
Magnum Mine,Locality,#REF!,35801
Mason Creek,Community,#REF!,6445
McKearney Ranch,Locality,#REF!,19588
McLean Ranch,Locality,#REF!,20569
Mile 62 1/2,Locality,#REF!,23605
Moberly Lake,Community,#REF!,6182
Montney,Locality,#REF!,7109
Muddy River 1,Indian Reserve,#REF!,65688
Muncho Lake,Locality,#REF!,8268
Murdale,Locality,#REF!,35918
Muskwa,Locality,#REF!,8363
Nelson Forks,Locality,#REF!,13497
North Pine,Locality,#REF!,17118
Northern Rockies Regional Municipality,District Municipality,#REF!,60100
Old Fort,Community,#REF!,18631
Old Fort Nelson,Community,#REF!,18633
Osborn,Community,#REF!,41123
Parkland,Locality,#REF!,16027
Peejay,Locality,#REF!,6922
Pineview,Locality,#REF!,16833
Pink Mountain,Locality,#REF!,38535
Police Meadow 2,Indian Reserve,#REF!,65782
Pouce Coupe,Village,#REF!,22265
Prespatou,Community,#REF!,19254
Progress,Community,#REF!,21262
Prophet River,Locality,#REF!,35905
Prophet River 4,Indian Reserve,#REF!,64921
Rolla,Community,#REF!,20887
Rose Prairie,Locality,#REF!,21828
Seven Mile Corner,Locality,#REF!,18913
Shearer Dale,Locality,#REF!,15416
Sikanni Chief,Locality,#REF!,20417
Simpson Ranch,Locality,#REF!,20510
Smith River,Locality,#REF!,21696
Snake 5,Indian Reserve,#REF!,64855
Snake River,Locality,#REF!,21724
South Dawson,Community,#REF!,20661
South Taylor,Community,#REF!,20717
Steamboat,Locality,#REF!,6844
Sucker Lake 2,Indian Reserve,#REF!,64853
Summit Lake,Locality,#REF!,13349
Sunrise Valley,Locality,#REF!,13977
Sunset Prairie,Community,#REF!,13990
Sweetwater,Locality,#REF!,16653
Taylor,District Municipality,#REF!,18508
Toad River,Locality,#REF!,19996
Tomslake,Locality,#REF!,20958
Tower Lake,Locality,#REF!,37438
Trutch,Locality,#REF!,23007
Tsay Keh Dene,Locality,#REF!,41381
Tumbler Ridge,District Municipality,#REF!,24595
Tumbler Ridge,Community,#REF!,37513
Tupper,Locality,#REF!,24619
Twidwell Bend,Locality,#REF!,24985
Two Rivers,Community,#REF!,25168
Upper Cutbank,Locality,#REF!,25091
Upper Halfway,Community,#REF!,41179
Valley View,Locality,#REF!,24312
Wagner Ranch,Locality,#REF!,15857
Weissener Lake 3,Indian Reserve,#REF!,64852
West Moberly Lake 168A,Indian Reserve,#REF!,64903
Willow Valley,Locality,#REF!,23056
Willowbrook,Locality,#REF!,23042
Wonowon,Community,#REF!,23953
Aleza Lake,Community,#REF!,991
Anzac,Locality,#REF!,2108
Arctic Lake 10,Indian Reserve,#REF!,60424
Azu Ski Village,Community,#REF!,10389
Bear Lake,Community,#REF!,25204
Blue Lake 24,Indian Reserve,#REF!,60442
Carlson,Locality,#REF!,38632
Carp Lake 3,Indian Reserve,#REF!,64878
Carp South 7,Indian Reserve,#REF!,68922
Crescent Spur,Locality,#REF!,4857
Croydon,Locality,#REF!,35189
Davie Lake 28,Indian Reserve,#REF!,60431
Dokie Siding,Community,#REF!,37731
Dome Creek,Community,#REF!,18239
Dunster,Community,#REF!,15633
Eddy,Locality,#REF!,1707
Ferndale,Community,#REF!,11943
Foreman,Community,#REF!,3552
Giscome,Locality,#REF!,6171
Great Bear Lake 16,Indian Reserve,#REF!,65841
Hasler Flat,Community,#REF!,8572
Hominka 11,Indian Reserve,#REF!,60441
Kerry Lake East 9,Indian Reserve,#REF!,60430
Kerry Lake West 8,Indian Reserve,#REF!,60429
Lamming Mills,Community,#REF!,20350
Lemoray,Locality,#REF!,41033
Longworth,Locality,#REF!,10691
Loos,Locality,#REF!,10715
Mackenzie,District Municipality,#REF!,3879
Mackenzie 19,Indian Reserve,#REF!,66024
McBride,Village,#REF!,8368
McGregor,Community,#REF!,38004
